Co,Mth,BatchSeq,Equipment,CurrentOdometer(SkyBitz),CurrentOdometer(WhipAround),,,
1,12/1/2019,13,AE045 ,129595.328,126589,,AE029,Unable to install GPS | Reason: Decommissioning
1,12/1/2019,20,AE058 ,130510.281,138137,,AE074,Unable to install GPS | Not mobile in military base
1,12/1/2019,11,AE059 ,136020.375,136523,,AE140,New vehicle | needs odometer report
1,12/1/2019,14,AE060 ,112916.172,103577,,,
1,12/1/2019,38,AE064 ,60520.86,59071,,,
1,12/1/2019,45,AE067 ,120223.633,123672,,,
1,12/1/2019,6,AE077 ,157082.156,144332,,,
1,12/1/2019,17,AE078 ,94011.4,94405,,,
1,12/1/2019,61,AE079 ,120115.789,120621,,,
1,12/1/2019,27,AE082 ,14735.85,136038,,,
1,12/1/2019,8,AE084 ,101932.781,100258,,,
1,12/1/2019,25,AE085 ,104387.172,104242,,,
1,12/1/2019,40,AE089 ,123061.492,122604,,,
1,12/1/2019,30,AE092 ,119520.273,119627,,,
1,12/1/2019,65,AE097 ,74318.94,74463,,,
1,12/1/2019,67,AE098 ,97425.35,93400,,,
1,12/1/2019,19,AE099 ,58646.75,57394,,,
1,12/1/2019,12,AE1007 ,56488.92,56531,,,
1,12/1/2019,56,AE101 ,104621.148,103025,,,
1,12/1/2019,10,AE1012 ,175163.828,17515,,,
1,12/1/2019,73,AE102 ,162213.563,160235,,,
1,12/1/2019,46,AE103 ,32820.78,33051,,,
1,12/1/2019,35,AE104 ,40979.97,34835,,,
1,12/1/2019,29,AE105 ,42460.51,43110,,,
1,12/1/2019,48,AE106 ,47508.44,47056,,,
1,12/1/2019,18,AE107,204406.953,91805,,,
1,12/1/2019,21,AE108 ,90131.39,88426,,,
1,12/1/2019,64,AE109 ,80488.3,80688,,,
1,12/1/2019,22,AE110 ,28951.89,37377,,,
1,12/1/2019,42,AE111 ,52627.47,51442,,,
1,12/1/2019,33,AE112 ,32415.04,31758,,,
1,12/1/2019,44,AE113 ,36870.61,35863,,,
1,12/1/2019,63,AE114 ,28096.13,135829,,,
1,12/1/2019,69,AE115 ,47594.28,46640,,,
1,12/1/2019,2,AE116 ,55981.52,55241,,,
1,12/1/2019,5,AE117 ,64277.03,53507,,,
1,12/1/2019,68,AE118 ,132340.063,31434,,,
1,12/1/2019,3,AE119 ,38145.93,29270,,,
1,12/1/2019,74,AE120 ,24041.37,39412,,,
1,12/1/2019,71,AE121 ,40106.37,38323,,,
1,12/1/2019,28,AE124 ,26562.44,23660,,,
1,12/1/2019,37,AE126 ,65609.04,65581,,,
1,12/1/2019,47,AE127 ,44635.04,40525,,,
1,12/1/2019,16,AE128 ,28636.53,28722,,,
1,12/1/2019,7,AE132 ,32737.19,99940,,,
1,12/1/2019,15,AE133 ,30767.02,24610,,,
1,12/1/2019,70,AE134 ,118696.852,29717,,,
1,12/1/2019,9,AE135 ,105111.008,11400,,,
1,12/1/2019,41,AE136 ,154226.391,10199,,,
1,12/1/2019,43,AE137 ,5949.79,,,,
1,12/1/2019,59,AE138 ,178784.953,,,,
1,12/1/2019,39,AE139,5116.38,3941,,,
,12/1/2019,1,AE140,,,,,
1,12/1/2019,34,AE141,174206.844,1165,,,
1,12/1/2019,36,AE142,96670.41,,,,
1,12/1/2019,1,AE143,21637.64,,,,
1,12/1/2019,4,AE144,15205.06,,,,
1,12/1/2019,24,AE145,201879.7,623,,,
2,12/1/2019,32,CT004 ,57304.98,50145,,,
2,12/1/2019,23,CT005 ,41903.43,31113,,,
2,12/1/2019,50,CT006,25803.43,,,,
5,12/1/2019,76,ET001 ,213993.031,1132,,,
5,12/1/2019,51,ET002,189134.1,,,,
4,12/1/2019,31,GPS001 ,228731.641,12610,,,
4,12/1/2019,26,GPS002 ,160001.141,142061,,,
