Co,Mth,BatchSeq,Equipment,CurrentOdometer
1,10/1/2019,1,AE116 ,54716.72
1,10/1/2019,2,AE117 ,61754.0
1,10/1/2019,3,AE077 ,153903.781
1,10/1/2019,4,AE119 ,37477.74
1,10/1/2019,5,AE132 ,30854.2
1,10/1/2019,6,AE144,12048.22
1,10/1/2019,7,AE143,18660.19
1,10/1/2019,8,AE135 ,104494.711
1,10/1/2019,9,AE1007 ,56302.52
1,10/1/2019,10,AE133 ,30089.18
1,10/1/2019,11,AE084 ,101167.773
1,10/1/2019,12,AE1012 ,175163.828
1,10/1/2019,13,AE060 ,111779.789
1,10/1/2019,14,AE128 ,27345.38
1,10/1/2019,15,AE099 ,57014.52
1,10/1/2019,16,AE059 ,134707.391
1,10/1/2019,17,AE107,203284.781
1,10/1/2019,18,AE045 ,128027.992
1,10/1/2019,19,AE078 ,92285.04
1,10/1/2019,20,AE137 ,4930.63
1,10/1/2019,21,AE110 ,27679.24
1,10/1/2019,22,AE111 ,50953.54
1,10/1/2019,23,AE105 ,41469.19
1,10/1/2019,24,AE104 ,40113.28
1,10/1/2019,25,CT004 ,55073.0
1,10/1/2019,26,AE141,171328.953
1,10/1/2019,27,AE082 ,12901.0
1,10/1/2019,28,AE112 ,31971.13
1,10/1/2019,29,AE145,201062.219
1,10/1/2019,30,AE142,95414.85
1,10/1/2019,31,AE113 ,35558.23
1,10/1/2019,32,AE092 ,118921.43
1,10/1/2019,33,AE127 ,42488.02
1,10/1/2019,34,AE103 ,31926.7
1,10/1/2019,35,AE089 ,122131.656
1,10/1/2019,36,AE085 ,104202.047
1,10/1/2019,37,GPS002 ,157957.969
1,10/1/2019,38,AE106 ,47502.95
1,10/1/2019,39,GPS001 ,226261.922
1,10/1/2019,40,AE067 ,118781.328
1,10/1/2019,41,AE124 ,25226.24
1,10/1/2019,42,AE136 ,152978.188
1,10/1/2019,43,AE108 ,86944.18
1,10/1/2019,44,AE139,3479.99
1,10/1/2019,45,AE064 ,60397.02
1,10/1/2019,46,CT005 ,39953.44
1,10/1/2019,47,AE058 ,129562.188
1,10/1/2019,48,AE102 ,160883.031
2,10/1/2019,49,CT006,22254.8
5,10/1/2019,50,ET001 ,213329.375
5,10/1/2019,51,ET002,188456.984
1,10/1/2019,52,AE114 ,27561.79
1,10/1/2019,53,AE140,209293.891
1,10/1/2019,54,AE120 ,22636.24
1,10/1/2019,55,AE138 ,178244.8
1,10/1/2019,56,AE121 ,39004.49
1,10/1/2019,57,AE079 ,119044.523
1,10/1/2019,58,AE109 ,80218.92
1,10/1/2019,59,AE098 ,96745.82
1,10/1/2019,60,AE097 ,74142.75
1,10/1/2019,61,AE115 ,46270.59
1,10/1/2019,62,AE101 ,103557.461
1,10/1/2019,63,AE114 ,27561.79
1,10/1/2019,64,AE140,209293.891
1,10/1/2019,65,AE120 ,22636.24
1,10/1/2019,66,AE102 ,160883.031
1,10/1/2019,67,AE134 ,116989.57
1,10/1/2019,68,AE121 ,39004.49
1,10/1/2019,69,AE118 ,132055.625
1,10/1/2019,70,ET001 ,213329.375
1,10/1/2019,71,AE079 ,119044.523
1,10/1/2019,72,AE109 ,80218.92
1,10/1/2019,73,AE098 ,96745.82
1,10/1/2019,74,AE097 ,74142.75
1,10/1/2019,75,AE115 ,46270.59
1,10/1/2019,76,AE101 ,103557.461
1,10/1/2019,77,CT006,22254.8
