Co,Mth,BatchSeq,Equipment,CurrentOdometer,MeterReadDate
1,02/26/2020,1,AE077 ,161405.719,2020-02-25
1,02/26/2020,2,AE117 ,70448.46,2020-02-25
1,02/26/2020,3,AE132 ,40156.23,2020-02-25
1,02/26/2020,4,AE143,28118.31,2020-02-25
1,02/26/2020,5,AE144,22440.15,2020-02-25
1,02/26/2020,6,AE146,110028.7,2020-02-25
1,02/26/2020,7,AE116 ,61741.08,2020-02-25
1,02/26/2020,8,AE119 ,44811.76,2020-02-25
1,02/26/2020,9,AE1021 ,175163.828,2020-02-16
1,02/26/2020,10,AE084 ,103332.422,2020-02-24
1,02/26/2020,11,AE1007 ,56769.06,2020-02-25
1,02/26/2020,12,AE128 ,30503.75,2020-02-25
1,02/26/2020,13,AE060 ,115682.953,2020-02-25
1,02/26/2020,14,AE107,206248.766,2020-02-25
1,02/26/2020,15,AE045 ,131394.484,2020-02-25
1,02/26/2020,16,AE099 ,59348.65,2020-02-25
1,02/26/2020,17,AE135 ,106667.031,2020-02-25
1,02/26/2020,18,AE059 ,137638.719,2020-02-25
1,02/26/2020,19,AE078 ,95494.05,2020-02-25
1,02/26/2020,20,AE133 ,31774.29,2020-02-25
1,02/26/2020,21,AE104 ,41923.56,2020-01-27
1,02/26/2020,22,AE126 ,65610.94,2020-02-20
4,02/26/2020,23,GPS002 ,160224.7,2020-02-25
1,02/26/2020,24,AE058 ,131826.438,2020-02-25
1,02/26/2020,25,AE064 ,61702.08,2020-02-25
1,02/26/2020,26,AE110 ,30588.39,2020-02-25
1,02/26/2020,27,AE112 ,33185.52,2020-02-25
1,02/26/2020,28,AE106 ,47909.72,2020-02-25
2,02/26/2020,29,CT005 ,44322.87,2020-02-25
1,02/26/2020,30,AE067 ,122468.461,2020-02-25
1,02/26/2020,31,AE124 ,28512.14,2020-02-25
1,02/26/2020,32,AE105 ,43980.16,2020-02-25
1,02/26/2020,33,AE139,7241.67,2020-02-25
2,02/26/2020,34,CT004 ,61868.43,2020-02-25
1,02/26/2020,35,AE142,98819.5,2020-02-25
1,02/26/2020,36,AE085 ,104721.547,2020-02-25
4,02/26/2020,37,GPS001 ,231413.8,2020-02-25
1,02/26/2020,38,AE082 ,17545.88,2020-02-25
1,02/26/2020,39,AE092 ,120254.578,2020-02-25
1,02/26/2020,40,AE127 ,48649.75,2020-02-25
1,02/26/2020,41,AE113 ,39762.05,2020-02-25
1,02/26/2020,42,AE089 ,124521.031,2020-02-25
1,02/26/2020,43,AE145,203920.813,2020-02-25
1,02/26/2020,44,AE103 ,34081.05,2020-02-25
1,02/26/2020,45,AE137 ,7880.86,2020-02-25
1,02/26/2020,46,AE136 ,156760.313,2020-02-25
1,02/26/2020,47,AE141,179514.688,2020-02-25
1,02/26/2020,48,AE111 ,55135.01,2020-02-25
1,02/26/2020,49,AE108 ,94268.95,2020-02-25
1,02/26/2020,50,AE102 ,163870.875,2020-02-25
2,02/26/2020,51,CT006,29628.73,2020-02-25
5,02/26/2020,52,ET001 ,214951.938,2020-02-25
5,02/26/2020,53,ET002,190843.875,2020-02-25
1,02/26/2020,54,AE140,209718.984,2020-01-29
1,02/26/2020,55,AE115 ,50405.31,2020-02-25
1,02/26/2020,56,AE121 ,43256.56,2020-02-25
1,02/26/2020,57,AE079 ,122343.117,2020-02-25
1,02/26/2020,58,AE138 ,181918.1,2020-02-25
1,02/26/2020,59,AE101 ,105695.688,2020-02-25
1,02/26/2020,60,AE097 ,74784.85,2020-02-25
1,02/26/2020,61,AE109 ,81960.11,2020-02-25
1,02/26/2020,62,AE114 ,30068.51,2020-02-25
1,02/26/2020,63,AE098 ,98580.85,2020-02-25
1,02/26/2020,64,AE120 ,26804.13,2020-02-25
1,02/26/2020,65,AE134 ,119827.852,2020-02-08
1,02/26/2020,66,AE118 ,132407.453,2020-02-25
